Profile_ID,Pollutant,Year,wday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
AGRI_HOU_MLI,All,0,3,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_MLI,All,0,4,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_MLI,All,0,5,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_MLI,All,0,6,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.82242991282243,0.872274144872274,0.94704050494704,1.04672896904673,1.17133956117134,1.22118379322118,1.29595015329595,1.39563864139564,1.37071651337072,1.34579438534579,1.27102804927103,1.17133956117134,1.04672896904673,0.94704050494704,0.872274144872274,0.82242991282243,0.797507784797508,0.797507784797508,0.797507784797508
AGRI_HOU_MLI,All,0,7,0.898595950202808,0.898595950202808,0.898595950202808,0.898595950202808,0.898595950202808,0.911076430177847,0.936037438127925,0.973478926053042,1.0234009419532,1.08580343782839,1.11076442177847,1.14820593370359,1.19812792560374,1.18564742162871,1.17316691765367,1.13572542972855,1.08580343782839,1.0234009419532,0.973478926053042,0.936037438127925,0.911076430177847,0.898595950202808,0.898595950202808,0.898595950202808
AGRI_HOU_PIG,All,0,1,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_PIG,All,0,2,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_PIG,All,0,3,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_PIG,All,0,4,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_PIG,All,0,5,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_PIG,All,0,6,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.82242991282243,0.872274144872274,0.94704050494704,1.04672896904673,1.17133956117134,1.22118379322118,1.29595015329595,1.39563864139564,1.37071651337072,1.34579438534579,1.27102804927103,1.17133956117134,1.04672896904673,0.94704050494704,0.872274144872274,0.82242991282243,0.797507784797508,0.797507784797508,0.797507784797508
AGRI_HOU_PIG,All,0,7,0.898595950202808,0.898595950202808,0.898595950202808,0.898595950202808,0.898595950202808,0.911076430177847,0.936037438127925,0.973478926053042,1.0234009419532,1.08580343782839,1.11076442177847,1.14820593370359,1.19812792560374,1.18564742162871,1.17316691765367,1.13572542972855,1.08580343782839,1.0234009419532,0.973478926053042,0.936037438127925,0.911076430177847,0.898595950202808,0.898595950202808,0.898595950202808
AGRI_HOU_POU,All,0,1,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_POU,All,0,2,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_POU,All,0,3,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_POU,All,0,4,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_POU,All,0,5,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_POU,All,0,6,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.82242991282243,0.872274144872274,0.94704050494704,1.04672896904673,1.17133956117134,1.22118379322118,1.29595015329595,1.39563864139564,1.37071651337072,1.34579438534579,1.27102804927103,1.17133956117134,1.04672896904673,0.94704050494704,0.872274144872274,0.82242991282243,0.797507784797508,0.797507784797508,0.797507784797508
AGRI_HOU_POU,All,0,7,0.898595950202808,0.898595950202808,0.898595950202808,0.898595950202808,0.898595950202808,0.911076430177847,0.936037438127925,0.973478926053042,1.0234009419532,1.08580343782839,1.11076442177847,1.14820593370359,1.19812792560374,1.18564742162871,1.17316691765367,1.13572542972855,1.08580343782839,1.0234009419532,0.973478926053042,0.936037438127925,0.911076430177847,0.898595950202808,0.898595950202808,0.898595950202808
AGRI_HOU_SHP,All,0,1,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_SHP,All,0,2,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_SHP,All,0,3,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_SHP,All,0,4,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_SHP,All,0,5,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_HOU_SHP,All,0,6,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.82242991282243,0.872274144872274,0.94704050494704,1.04672896904673,1.17133956117134,1.22118379322118,1.29595015329595,1.39563864139564,1.37071651337072,1.34579438534579,1.27102804927103,1.17133956117134,1.04672896904673,0.94704050494704,0.872274144872274,0.82242991282243,0.797507784797508,0.797507784797508,0.797507784797508
AGRI_HOU_SHP,All,0,7,0.898595950202808,0.898595950202808,0.898595950202808,0.898595950202808,0.898595950202808,0.911076430177847,0.936037438127925,0.973478926053042,1.0234009419532,1.08580343782839,1.11076442177847,1.14820593370359,1.19812792560374,1.18564742162871,1.17316691765367,1.13572542972855,1.08580343782839,1.0234009419532,0.973478926053042,0.936037438127925,0.911076430177847,0.898595950202808,0.898595950202808,0.898595950202808
AGRI_SPR_BIO,All,0,1,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_SPR_BIO,All,0,2,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_SPR_BIO,All,0,3,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_SPR_BIO,All,0,4,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_SPR_BIO,All,0,5,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_SPR_BIO,All,0,6,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.82242991282243,0.872274144872274,0.94704050494704,1.04672896904673,1.17133956117134,1.22118379322118,1.29595015329595,1.39563864139564,1.37071651337072,1.34579438534579,1.27102804927103,1.17133956117134,1.04672896904673,0.94704050494704,0.872274144872274,0.82242991282243,0.797507784797508,0.797507784797508,0.797507784797508
AGRI_SPR_BIO,All,0,7,0.898595950202808,0.898595950202808,0.898595950202808,0.898595950202808,0.898595950202808,0.911076430177847,0.936037438127925,0.973478926053042,1.0234009419532,1.08580343782839,1.11076442177847,1.14820593370359,1.19812792560374,1.18564742162871,1.17316691765367,1.13572542972855,1.08580343782839,1.0234009419532,0.973478926053042,0.936037438127925,0.911076430177847,0.898595950202808,0.898595950202808,0.898595950202808
AGRI_SPR_CAT,All,0,1,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_SPR_CAT,All,0,2,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_SPR_CAT,All,0,3,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_SPR_CAT,All,0,4,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_SPR_CAT,All,0,5,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.59627328178882,0.645962737937888,0.745341626236025,0.89440994668323,1.0931676992795,1.34161490802484,1.44099379632298,1.59006211677019,1.78881986936646,1.73913043721739,1.68944100506832,1.54037268462112,1.34161490802484,1.0931676992795,0.89440994668323,0.745341626236025,0.645962737937888,0.59627328178882,0.59627328178882,0.59627328178882
AGRI_SPR_CAT,All,0,6,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.797507784797508,0.82242991282243,0.872274144872274,0.94704050494704,1.04672896904673,1.17133956117134,1.22118379322118,1.29595015329595,1.39563864139564,1.37071651337072,1.34579438534579,1.27102804927103,1.17133956117134,1.04672896904673,0.94704050494704,0.872274144872274,0.82242991282243,0.797507784797508,0.797507784797508,0.797507784797508
